exchange,symbol,amount,value,timestamp
Binance,BTC,0.00354089,103.94869424221078,2022-05-21 10:21:56.207780+00:00
Binance,ETH,0.10135461,200.18708373959834,2022-05-21 10:21:56.207780+00:00
Binance,USDT,1.45451913,1.45451913,2022-05-21 10:21:56.207780+00:00
Binance,XRP,0.20527000,0.0844143972984,2022-05-21 10:21:56.207780+00:00
Binance,ADA,0.79000000,0.41695347590000004,2022-05-21 10:21:56.207780+00:00
Binance,MATIC,18.98100000,12.230309028420002,2022-05-21 10:21:56.207780+00:00
Binance,CHZ,299.70000000,35.712725526,2022-05-21 10:21:56.207780+00:00
Binance,ALGO,0.00309000,0.0013270284954,2022-05-21 10:21:56.207780+00:00
Binance,DOGE,110.85000000,9.351526591499999,2022-05-21 10:21:56.207780+00:00
Binance,BUSD,0.06203243,0.06203243,2022-05-21 10:21:56.207780+00:00
Binance,EUR,0.04496569,0.0474445967791565,2022-05-21 10:21:56.207780+00:00
Binance,BIDR,74480.44,5.064694838298605,2022-05-21 10:21:56.207780+00:00
Binance,DOT,1.02897000,10.116475431766201,2022-05-21 10:21:56.207780+00:00
Binance,SAND,11.98800000,15.809344869959999,2022-05-21 10:21:56.207780+00:00
Binance,LUNA,2746738.04244000,307.4698564707336,2022-05-21 10:21:56.207780+00:00
Binance,AAVE,0.17982000,16.4052444602736,2022-05-21 10:21:56.207780+00:00
Binance,FIL,2.00799000,16.1575219920123,2022-05-21 10:21:56.207780+00:00
Binance,1INCH,9.39060000,8.686561081662,2022-05-21 10:21:56.207780+00:00
Binance,PHA,30.00000000,3.7821402,2022-05-21 10:21:56.207780+00:00
Binance,LINA,300.00000000,2.689356,2022-05-21 10:21:56.207780+00:00
Binance,SHIB,1558718.00,18.096715980000003,2022-05-21 10:21:56.207780+00:00
Binance,UST,352.00000000,90.58379616,2022-05-21 10:21:56.207780+00:00
GateIO,ATLAS,382.66314,3.2709279880919997,2022-05-21 10:21:56.207780+00:00
GateIO,KISHU,3489545661.522,2.170497401466684,2022-05-21 10:21:56.207780+00:00
GateIO,DAO,30.253372,52.308080188,2022-05-21 10:21:56.207780+00:00
GateIO,USDG,0.00083975,0.0008275736250000001,2022-05-21 10:21:56.207780+00:00
GateIO,BTRST,100,250.1,2022-05-21 10:21:56.207780+00:00
GateIO,BLOK,582.239188,5.6477201236,2022-05-21 10:21:56.207780+00:00
GateIO,USDT,0.402639614867,0.402639614867,2022-05-21 10:21:56.207780+00:00
GateIO,10SET,8.966032,26.916028064,2022-05-21 10:21:56.207780+00:00
GateIO,SFM,8469.93209818,5.028598686689465,2022-05-21 10:21:56.207780+00:00
GateIO,LSS,274.234885088,50.86234413727136,2022-05-21 10:21:56.207780+00:00
GateIO,ADA,16.840252,8.8924950686,2022-05-21 10:21:56.207780+00:00
GateIO,LUNA,211587.976,23.403322849408,2022-05-21 10:21:56.207780+00:00
Kucoin,ETH,0.09243092,182.2052128231244,2022-05-21 10:21:56.207780+00:00
Kucoin,DOGE,951.31775893,80.01731544454088,2022-05-21 10:21:56.207780+00:00
Kucoin,DAG,311.68861024,33.61524258805171,2022-05-21 10:21:56.207780+00:00
Kucoin,LUNA,198531.39125899,22.009190034971635,2022-05-21 10:21:56.207780+00:00
Kucoin,HAI,804.3102,19.236260768994,2022-05-21 10:21:56.207780+00:00
Kucoin,HERO,981.28202638,15.276765404628325,2022-05-21 10:21:56.207780+00:00
Kucoin,AMPL,16.80331879,15.250483772651004,2022-05-21 10:21:56.207780+00:00
Kucoin,BLOK,951.98009133,9.208922294675276,2022-05-21 10:21:56.207780+00:00
Kucoin,NAKA,42.60645874,5.607669518165296,2022-05-21 10:21:56.207780+00:00
Kucoin,NTVRK,11.48834642,4.3261902773730245,2022-05-21 10:21:56.207780+00:00
Kucoin,ADA,1,0.52656478,2022-05-21 10:21:56.207780+00:00
Kucoin,1EARTH,0.00004227,4.266670395e-07,2022-05-21 10:21:56.207780+00:00
Kucoin,USDT,0,0.0,2022-05-21 10:21:56.207780+00:00
Binance,BTC,0.00354089,103.93826900370362,2022-05-21 10:22:23.634235+00:00
Binance,ETH,0.10135461,200.180975511794,2022-05-21 10:22:23.634235+00:00
Binance,USDT,1.45451913,1.45451913,2022-05-21 10:22:23.634235+00:00
Binance,XRP,0.20527000,0.08441108629329999,2022-05-21 10:22:23.634235+00:00
Binance,ADA,0.79000000,0.416866805,2022-05-21 10:22:23.634235+00:00
Binance,MATIC,18.98100000,12.22896384495,2022-05-21 10:22:23.634235+00:00
Binance,CHZ,299.70000000,35.701513749,2022-05-21 10:22:23.634235+00:00
Binance,ALGO,0.00309000,0.0013268748606,2022-05-21 10:22:23.634235+00:00
Binance,DOGE,110.85000000,9.3488506725,2022-05-21 10:22:23.634235+00:00
Binance,BUSD,0.06203243,0.06203243,2022-05-21 10:22:23.634235+00:00
Binance,EUR,0.04496569,0.047444503250521304,2022-05-21 10:22:23.634235+00:00
Binance,BIDR,74480.44,5.064691394291512,2022-05-21 10:22:23.634235+00:00
Binance,DOT,1.02897000,10.1162861938935,2022-05-21 10:22:23.634235+00:00
Binance,SAND,11.98800000,15.80690998728,2022-05-21 10:22:23.634235+00:00
Binance,LUNA,2746738.04244000,307.14024790564076,2022-05-21 10:22:23.634235+00:00
Binance,AAVE,0.17982000,16.403941995242402,2022-05-21 10:22:23.634235+00:00
Binance,FIL,2.00799000,16.1577074700486,2022-05-21 10:22:23.634235+00:00
Binance,1INCH,9.39060000,8.686515912875999,2022-05-21 10:22:23.634235+00:00
Binance,PHA,30.00000000,3.7821402,2022-05-21 10:22:23.634235+00:00
